Var1,Freq
longchain,117
medianbetahydroxyacidlong,74
luciferin,59
acetate,32
mediumchain,23
"2,3-dihydroxybenzoate",19
shortchain,17
phenylacetate,15
unknown,12
verylongchain,12
salicylate,11
benzoate,7
malonate,7
palmitate,6
2succinylbenzoate,5
anthranilate,5
balanine,5
dalanine,5
4coumarate,4
5-aminolevulinate,4
cyclohexanecarboxylate,4
myristate,4
1-heptadecene,3
3-hydroxypicolinoate,3
4-coumarate,3
4hydroxybenzoate,3
"5-hydroxy-4-methoxy-3,6,7,8-tetrahydropyrrolo[3,2-e]indole-2-carboxylate",3
6-methylsalicylate,3
acetate; malonate,3
arachidonateeicosapentaenoate,3
C24bileacids,3
coelenterazinedisulfate,3
decanoate,3
hexanoate,3
long_chain,3
(E)-non-3-enoate; 8-methylnonanoate; decanoate; 8-methyldecanoate; 9-methyldecanoate,2
(S)-4-(1-hydroxyethyl)quinoline-2-carboxylate,2
12oxophytodienoate,2
194hydroxyphenylnonadecanoate,2
2-oxo-3-phenylpropanoate,2
33aS4S7aS7amethyl15dioxooctahydro1Hinden4ylpropanoate,2
3hydroxypropanoate,2
4-guanidinobutanoate,2
4chlorobenzoate,2
5-hydroxy-6-methoxy-1H-indole-2-carboxylate,2
8-hydroxyoctanoate,2
acetate; isobutyrate; propionate,2
acetoacetate,2
acetotate,2
aminolevulinate,2
bileacid,2
C13.through.C17,2
C24verylongchainC26verylongchain,2
cinnamate,2
linoleate,2
malonate; methylmalonate,2
median_beta_hydroxy_acid_long,2
methylcoumarate,2
octanoate,2
p-nitrobenzoate,2
picolinoate,2
S2amino6oxohexanoate,2
"(2E,4E)-octa-2,4-dienoic acid",1
"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxypropyl]oxolan-2-yl]propanoate; 6,8-dihydroxy-2-methylnon-2E-enoate",1
"(2S,3S)-3-(1H-indol-3-yl)-2-methylbutanoate",1
"(2S)-2-(5-((2S,3S)-3-hydroxyhexan-2-yl)tetrahydrofuran-2-yl)propanoate",1
"(4S,7R,E)-8-(2,6-dioxopiperidin-4-yl)-7-hydroxy-2,4-dimethyl-5-oxooct-2-enoic acid",1
"(E)-11-hydroxy-2,4,6,8,10,12-hexamethyl-9-oxotetradec-6-enoate",1
(R)-3-hydroxymyristate,1
(S)-3-aminobutyrate,1
"(Z)-15-(2,3-dimethylguanidino)pentadecanoic acid",1
1-acetyl-3-carboxy-beta-carboline,1
1-carboxy-2-cyanopropane,1
"1,4-dihydroxy-6-naphthoate",1
10R12Sdimethylmyristate,1
12-methyltridecanoate,1
13-methyltetradecanoate,1
"2-(((6R,7R,7aR)-3,6-dihydroxy-2-oxo-2,6,7,7a-tetrahydro-1H-inden-7-yl)oxy)acrylate",1
2-hydroxyquinoline-3-carboxylate,1
"2-ketoisovalerate; 3,3- dimethyl-2-ketobutyrate",1
2-naphthoate,1
2-succinylbenzoate,1
"2,4-diamino-3-oxobutanoate",1
"2,4-dimethylhexanoate",1
"2,7- dihydroxy-5-methyl-1-naphthoate",1
2hydroxy7methoxy5methyl1naphthoate,1
3-Amino-4-hydroxybenzoic acid,1
3-amino-5-hydroxybenzoic acid,1
3-hydroxy-4-methyldecanoate,1
3-hydroxy-quinaldate,1
3-hydroxyanthranilate,1
3-hydroxybenzoate,1
"3,4-dihydroxybenzoate",1
"3,4-dihydroxybenzoic_acid",1
3aminononanoate,1
3hydroxybenzoate,1
3methylsulfanylpropanoate,1
3oxocholest4en26oate,1
4-acetamidopyrrole-2-carboxylate,1
4-aminobenzoic acid,1
4-guanidino-2-oxobutanoic acid,1
4-guanidinylbutanoate,1
4-hydroxybenzoate,1
4-hydroxyphenylpyruvate,1
4chlorobenzoatebenzoate4bromobenzoate4iodobenzoate4methylbenzoate,1
4coumaratecaffeate,1
4coumarateferulatecaffeatecinnamate,1
4coumarateferulatesinapatecaffeate,1
4hydroxybutyrate,1
5-hydroxytetradecanoate,1
5-methylnaphthoate,1
9-methyldecanoate,1
"9,10-epoxy-8-hydroxy-9-methyl-decatrienoate",1
acetate; butyrate; malonate,1
acetate; propionate,1
acetatebutyrate,1
acetatepropionatebutyrate,1
acetoatetate,1
acrylate,1
acrylicaid,1
aminocoumarate,1
arachidonate,1
aryl,1
aryl_polyene,1
benzoatevanillateferulate,1
butyrate,1
butyratevaleratepropioinateacetate4hydroxybutyrate3hydroxybutyrate,1
C27bileacid,1
caffeate4coumaratecinnamate,1
crotonoate,1
D-aspartate; L-aspartate,1
decanoate; methylnonanoate; methyldecanoate; hexanoate; caprylate,1
decanote,1
desmethylaminocoumarin,1
dihydroxytetradecanoate; dihydroxyhexadecanoate,1
dimethylsulfoniopropionate,1
docosanoatetetracosanoate,1
dodecanoate,1
ferulate,1
fumaramoylL23diaminopropionate,1
hexadienoate,1
hexanoateoctanoatedecanoatelauratemyristatebenzoate,1
hexanoateoctanoatelaurate,1
hexenoate,1
Lalloisoleucine,1
laurate,1
Lproline,1
malonamate,1
malonatemethylmalonate,1
mupirocin,1
myristate; pentadecanoate; palmitate,1
myristatelauratearachidonateeicosapentaenoate,1
myristatepalmitate,1
nicotinicacid,1
nonanoate,1
O-acetyl-L-homoserine,1
o-succinylbenzoate,1
octanoate; hexanoate,1
octanoate; nonanoate; (E)-2-nonenoate; (E)-2-octenoate; (E)-3-octenoate,1
oleatelinoleate,1
oxalate,1
p-hydroxyphenylacetate,1
palmitatearachidonateoleate,1
palmitateoleatelinoleate,1
"phenazine-1,6-dicarboxylic acid",1
phenylpyruvate,1
polyenoate,1
"pyrrole-2,5-dicarboxylic acid",1
quinoxaline-2-carboxylate,1
Rcarnitine,1
S3aminobutyrateS3aminopentanoate,1
stearate; oleate,1
threonine,1
trichloroleucine,1
xanthurenate,1
