"","Precision","Recall","Balanced.Accuracy"
"Class: aryl.and.biaryl.derivatives",0.81,0.77,0.88
"Class: bulky.mainly.phenyl.derivatives.aa",0.84,0.83,0.9
"Class: C12.through.C17",0.48,0.57,0.77
"Class: C18.and.up.or.bile.acid",0.93,0.72,0.86
"Class: C2.through.C5",0.91,0.62,0.81
"Class: C6.through.C11",0.5,0.56,0.77
"Class: cinnamate.and.succinylbenzoate.derivatives",0.72,0.69,0.84
"Class: cyclic.aliphatic.aa",0.75,0.82,0.91
"Class: cysteine.aa",1,0.88,0.94
"Class: luciferin",0.77,0.94,0.97
"Class: median.beta.hydroxyacid",0.83,0.91,0.95
"Class: polar.and.charged.aa",0.91,0.86,0.92
"Class: small.hydrophilic.aa",0.84,0.86,0.92
"Class: small.hydrophobic.aa",0.84,0.93,0.96
"Class: tiny.aa",0.95,1,1
